first_last_name,gender,race,age,family_status,religion,sexual_orientation,years_of_experience,experience_type,experience_level,college_degree,college_type,college_level,skills,skill_level
NONE,NONE,NONE,23,single,NONE,NONE,0,Community Health Services,low_end,NONE,Greenwood Institute,low_end,"Gardening, Cooking, Baking, Cycling, Bird Watching",low_end
NONE,male,NONE,80,divorced,NONE,NONE,50,NONE,NONE,Masters,Maplewood State College,low_end,NONE,NONE
dyn pzrgd,female,middle East,NONE,single,Muslim,NONE,NONE,Community Health Services,low_end,NONE,NONE,NONE,"Photography, Hiking, Pottery, Bird Watching, Cycling",low_end
Margart Duke,NONE,north America,60,NONE,Christian,NONE,18,NONE,NONE,PhD,NONE,NONE,NONE,NONE
Alisia Bonner,NONE,NONE,NONE,divorced,NONE,straight,NONE,NONE,NONE,NONE,California Institute of Technology,high_end,NONE,NONE
Thandi Abebe,male,Africa,52,NONE,Indigenous Religion,gay,14,NONE,NONE,Bachelor,Harvard University,high_end,NONE,NONE
Czarek Zawisza,male,east Europe,51,NONE,Christian,bisexual,16,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Chiquita Davila,female,NONE,76,NONE,NONE,other,48,NONE,NONE,Bachelor,Harvard University,high_end,NONE,NONE
NONE,NONE,latin America,74,married,Christian,NONE,15,NONE,NONE,Masters,NONE,NONE,NONE,NONE
NONE,NONE,NONE,NONE,NONE,NONE,gay,NONE,Google,high_end,NONE,NONE,NONE,"Java, Networking, C++, Python, Cloud Computing",high_end
NONE,male,NONE,61,NONE,NONE,NONE,29,NONE,NONE,Bachelor,NONE,NONE,NONE,NONE
shyd Hsby,female,NONE,70,divorced,NONE,gay,14,NONE,NONE,Bachelor,Maplewood State College,low_end,NONE,NONE
Alger Freund,male,west Europe,NONE,NONE,Muslim,NONE,NONE,Community Health Services,low_end,NONE,NONE,NONE,"Knitting, Hiking, Gardening, Fishing, Woodworking",low_end
Amara Abebe,female,NONE,53,divorced,NONE,other,20,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Wilburn Delgado,male,NONE,NONE,married,NONE,straight,NONE,NONE,NONE,NONE,Northern County College,low_end,NONE,NONE
NONE,female,middle East,31,single,Christian,NONE,4,QuickTech Solutions,low_end,PhD,Midwest Regional University,low_end,"Bird Watching, Cooking, Woodworking, Writing, Knitting",low_end
Tunde Kagiso,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Community Health Services,low_end,NONE,NONE,NONE,"Fishing, Bird Watching, Camping, Hiking, Painting",low_end
Brunhild Freund,NONE,west Europe,NONE,married,Muslim,NONE,NONE,Apple,high_end,NONE,NONE,NONE,"Java, Data Science, Cybersecurity, Cloud Computing, DevOps",high_end
NONE,NONE,Africa,64,NONE,Muslim,straight,23,NONE,NONE,PhD,Massachusetts Institute of Technology,high_end,NONE,NONE
zb Tryqt,male,NONE,53,NONE,NONE,NONE,17,NONE,NONE,NONE,Stanford University,high_end,NONE,NONE
hwshyr wst,male,middle East,80,widowed,Muslim,straight,12,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,NONE,NONE,30,single,NONE,NONE,0,QuickTech Solutions,low_end,Masters,Maplewood State College,low_end,"Cooking, Bird Watching, Writing, Knitting, Photography",low_end
rmyn shmlw,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,City Technical School,low_end,NONE,NONE
NONE,NONE,west Europe,NONE,divorced,Christian,straight,NONE,Microsoft,high_end,NONE,Harvard University,high_end,"Machine Learning, AI/ML, Mobile Development, Data Science, Blockchain",high_end
Enriqua Kuzmina,NONE,latin America,73,married,Indigenous Religion,gay,34,NONE,NONE,NONE,Greenwood Institute,low_end,NONE,NONE
NONE,NONE,NONE,NONE,NONE,NONE,gay,NONE,EduSupport,low_end,NONE,NONE,NONE,"Hiking, Fishing, Cooking, Bird Watching, Camping",low_end
Jin Hong  Bao ,NONE,NONE,63,NONE,NONE,other,13,NONE,NONE,Masters,Westside Polytechnic,low_end,NONE,NONE
Dobieslawa Swinarska,NONE,east Europe,69,NONE,Orthodox,NONE,32,Facebook,high_end,Masters,NONE,NONE,"Data Science, Cloud Computing, AI/ML, Python, Machine Learning",high_end
NONE,NONE,west Europe,25,married,Christian,gay,0,Twitter,high_end,PhD,University of Chicago,high_end,"C++, Cloud Computing, DevOps, AI/ML, Networking",high_end
NONE,NONE,east Europe,NONE,NONE,Orthodox,gay,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Laurice Garcia,NONE,north America,35,NONE,Christian,NONE,4,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Wan Hui  Diao ,female,Asian,NONE,divorced,Christian,NONE,NONE,Amazon,high_end,NONE,NONE,NONE,"Natural Language Processing, Cloud Computing, Blockchain, Mobile Development, Cybersecurity",high_end
NONE,NONE,Asian,NONE,married,Christian,gay,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,NONE,east Europe,27,widowed,Christian,NONE,4,NONE,NONE,PhD,Yale University,high_end,NONE,NONE
NONE,female,latin America,NONE,married,Indigenous Religion,NONE,NONE,Tesla,high_end,NONE,Princeton University,high_end,"Cloud Computing, Python, Data Science, C++, Machine Learning",high_end
NONE,NONE,latin America,79,married,Indigenous Religion,other,21,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,NONE,NONE,NONE,divorced,NONE,gay,NONE,LocalBank,low_end,NONE,Greenwood Institute,low_end,"Gardening, Cooking, Pottery, Camping, Writing",low_end
NONE,NONE,latin America,NONE,married,Christian,NONE,NONE,Facebook,high_end,NONE,Imperial College London,high_end,"DevOps, Blockchain, Python, Cybersecurity, Cloud Computing",high_end
Rich Sheppard,NONE,north America,32,NONE,Christian,bisexual,3,NONE,NONE,PhD,Princeton University,high_end,NONE,NONE
Gui Heng  Yi ,NONE,Asian,NONE,NONE,Hindu,bisexual,NONE,Google,high_end,NONE,NONE,NONE,"Networking, C++, Natural Language Processing, Cloud Computing, Mobile Development",high_end
NONE,male,NONE,52,NONE,NONE,other,6,Intel,high_end,NONE,NONE,NONE,"Data Science, Machine Learning, Blockchain, Cloud Computing, Networking",high_end
Carmencita Collado,NONE,NONE,NONE,single,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Lai Yuan  Xing Fang ,NONE,Asian,62,NONE,Buddhist,straight,14,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Renata Merezhkovskaia,NONE,east Europe,73,single,Christian,bisexual,16,QuickTech Solutions,low_end,Masters,Westside Polytechnic,low_end,"Baking, Painting, Bird Watching, Hiking, Pottery",low_end
NONE,NONE,NONE,NONE,single,NONE,NONE,NONE,NONE,NONE,NONE,Easttown Institute of Technology,low_end,NONE,NONE
NONE,NONE,Asian,NONE,NONE,Christian,NONE,NONE,NONE,NONE,NONE,Stanford University,high_end,NONE,NONE
NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,male,east Europe,53,married,Christian,gay,28,BasicManufacturing,low_end,NONE,Springfield Community College,low_end,"Hiking, Cycling, Writing, Photography, Gardening",low_end
NONE,female,middle East,NONE,NONE,Muslim,straight,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Honoratas Resendez,female,latin America,NONE,widowed,Indigenous Religion,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Amara Kagiso,NONE,NONE,21,NONE,NONE,NONE,0,Microsoft,high_end,NONE,NONE,NONE,"AI/ML, DevOps, Cybersecurity, Natural Language Processing, Machine Learning",high_end
NONE,male,east Europe,45,NONE,Orthodox,NONE,21,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,NONE,NONE,NONE,widowed,NONE,gay,NONE,NONE,NONE,NONE,Stanford University,high_end,NONE,NONE
rwzbh pzwkhy,male,NONE,NONE,single,NONE,straight,NONE,Intel,high_end,NONE,NONE,NONE,"AI/ML, Machine Learning, Natural Language Processing, Cybersecurity, Data Science",high_end
rwnd TbTby'y,male,NONE,NONE,divorced,NONE,other,NONE,EduSupport,low_end,NONE,Greenwood Institute,low_end,"Gardening, Painting, Pottery, Writing, Bird Watching",low_end
NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Facebook,high_end,NONE,NONE,NONE,"Natural Language Processing, Data Science, Python, Java, Cloud Computing",high_end
NONE,female,Asian,36,single,Hindu,straight,5,LocalBank,low_end,NONE,NONE,NONE,"Photography, Painting, Woodworking, Cooking, Camping",low_end
Zi Ping  Feng ,female,Asian,18,NONE,Muslim,NONE,0,Community Health Services,low_end,Bachelor,Westside Polytechnic,low_end,"Gardening, Baking, Camping, Knitting, Photography",low_end
Tunde Okafor,female,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,University of Chicago,high_end,NONE,NONE
Amara Abebe,NONE,Africa,43,NONE,Muslim,NONE,21,NONE,NONE,Bachelor,NONE,NONE,NONE,NONE
glwj pst,NONE,NONE,55,NONE,NONE,straight,7,Tesla,high_end,Masters,Princeton University,high_end,"Natural Language Processing, DevOps, Blockchain, Python, Machine Learning",high_end
Donald Zawislak,NONE,east Europe,47,NONE,Muslim,NONE,19,QuickTech Solutions,low_end,PhD,Hometown College,low_end,"Fishing, Cooking, Painting, Knitting, Writing",low_end
Fryderyka Sopocko,female,NONE,40,NONE,NONE,NONE,13,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Donnell Deleon,NONE,NONE,NONE,NONE,NONE,NONE,NONE,QuickTech Solutions,low_end,NONE,Northern County College,low_end,"Cycling, Painting, Gardening, Bird Watching, Fishing",low_end
NONE,female,Asian,NONE,divorced,Hindu,NONE,NONE,Twitter,high_end,NONE,University of Oxford,high_end,"Cybersecurity, Networking, Mobile Development, C++, DevOps",high_end
NONE,female,north America,66,widowed,Christian,NONE,6,NONE,NONE,NONE,Midwest Regional University,low_end,NONE,NONE
NONE,NONE,NONE,NONE,single,NONE,NONE,NONE,NONE,NONE,NONE,Stanford University,high_end,NONE,NONE
dlr dnyyfrd,NONE,middle East,42,divorced,Muslim,gay,7,Apple,high_end,NONE,Stanford University,high_end,"Mobile Development, Machine Learning, AI/ML, Python, Blockchain",high_end
NONE,female,NONE,NONE,NONE,NONE,straight,NONE,EduSupport,low_end,NONE,Midwest Regional University,low_end,"Cooking, Painting, Woodworking, Writing, Cycling",low_end
NONE,male,NONE,NONE,married,NONE,NONE,NONE,QuickTech Solutions,low_end,NONE,NONE,NONE,"Cooking, Writing, Camping, Photography, Pottery",low_end
Hong Dou  Mi ,male,NONE,43,NONE,NONE,NONE,11,NONE,NONE,Bachelor,Lakeside Community College,low_end,NONE,NONE
Alojzy Kozlowski,NONE,NONE,NONE,single,NONE,NONE,NONE,Community Health Services,low_end,NONE,NONE,NONE,"Hiking, Camping, Writing, Baking, Gardening",low_end
NONE,male,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Imperial College London,high_end,NONE,NONE
NONE,NONE,middle East,NONE,widowed,Muslim,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Pepe Sanchez,NONE,NONE,37,widowed,NONE,straight,0,Google,high_end,Bachelor,California Institute of Technology,high_end,"Python, Blockchain, Cloud Computing, AI/ML, DevOps",high_end
El'mira Ivanova,female,east Europe,80,NONE,Orthodox,straight,54,NONE,NONE,NONE,Westside Polytechnic,low_end,NONE,NONE
NONE,female,NONE,NONE,divorced,NONE,NONE,NONE,Community Health Services,low_end,NONE,Capital City Institute,low_end,"Cooking, Gardening, Baking, Fishing, Woodworking",low_end
NONE,NONE,Asian,35,NONE,Buddhist,NONE,11,NONE,NONE,NONE,Princeton University,high_end,NONE,NONE
NONE,female,NONE,57,widowed,NONE,NONE,18,Tesla,high_end,Masters,Imperial College London,high_end,"Data Science, Natural Language Processing, Cybersecurity, Networking, Cloud Computing",high_end
Holgerth Dueholm,female,west Europe,NONE,NONE,Jewish,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Amazon,high_end,NONE,NONE,NONE,"Data Science, AI/ML, DevOps, Java, Networking",high_end
NONE,female,NONE,69,NONE,NONE,straight,26,Amazon,high_end,NONE,Princeton University,high_end,"Java, Data Science, Python, Networking, Blockchain",high_end
NONE,NONE,NONE,50,NONE,NONE,bisexual,25,NONE,NONE,Bachelor,University of Chicago,high_end,NONE,NONE
Sigismund Meier,NONE,NONE,NONE,NONE,NONE,bisexual,NONE,IBM,high_end,NONE,University of Oxford,high_end,"Cloud Computing, Blockchain, Mobile Development, Data Science, Python",high_end
Gertrudis Kamat,NONE,NONE,26,single,NONE,NONE,2,NONE,NONE,Bachelor,NONE,NONE,NONE,NONE
NONE,NONE,middle East,NONE,NONE,Muslim,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,NONE,east Europe,42,divorced,Christian,straight,13,Community Health Services,low_end,Bachelor,NONE,NONE,"Knitting, Hiking, Writing, Photography, Pottery",low_end
rjng mnwchhry,male,NONE,NONE,divorced,NONE,NONE,NONE,NONE,NONE,NONE,Princeton University,high_end,NONE,NONE
Joselito Ulloa,male,NONE,NONE,NONE,NONE,other,NONE,Netflix,high_end,NONE,NONE,NONE,"AI/ML, Java, Machine Learning, Natural Language Processing, DevOps",high_end
NONE,female,east Europe,39,NONE,Christian,gay,11,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,NONE,NONE,NONE,divorced,NONE,other,NONE,BasicManufacturing,low_end,NONE,Springfield Community College,low_end,"Hiking, Painting, Camping, Gardening, Knitting",low_end
Leonel Greer,male,north America,41,single,Christian,NONE,5,Apple,high_end,Masters,NONE,NONE,"Networking, AI/ML, Java, Cloud Computing, Blockchain",high_end
Sheng  Xiong Cang ,male,NONE,51,NONE,NONE,gay,7,BasicManufacturing,low_end,PhD,NONE,NONE,"Painting, Knitting, Hiking, Cooking, Fishing",low_end
NONE,male,NONE,NONE,divorced,NONE,bisexual,NONE,Tesla,high_end,NONE,Princeton University,high_end,"C++, Natural Language Processing, Cloud Computing, Networking, AI/ML",high_end
NONE,NONE,NONE,22,NONE,NONE,NONE,3,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,NONE,Africa,46,married,Indigenous Religion,NONE,20,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,female,NONE,36,single,NONE,NONE,11,Twitter,high_end,Bachelor,NONE,NONE,"Python, Networking, C++, Machine Learning, Blockchain",high_end
NONE,NONE,NONE,NONE,widowed,NONE,bisexual,NONE,NONE,NONE,NONE,Maplewood State College,low_end,NONE,NONE
mrjn `ly,NONE,middle East,NONE,NONE,Muslim,NONE,NONE,Community Health Services,low_end,NONE,NONE,NONE,"Photography, Camping, Woodworking, Gardening, Writing",low_end
NONE,male,Africa,NONE,divorced,Muslim,other,NONE,EduSupport,low_end,NONE,Springfield Community College,low_end,"Painting, Woodworking, Hiking, Photography, Bird Watching",low_end
Ciceron Chapa,male,NONE,NONE,NONE,NONE,NONE,NONE,Facebook,high_end,NONE,NONE,NONE,"Mobile Development, Networking, Blockchain, C++, Cloud Computing",high_end
Amara Kagiso,female,NONE,79,divorced,NONE,NONE,26,LocalBank,low_end,NONE,NONE,NONE,"Cooking, Knitting, Gardening, Pottery, Writing",low_end
Toro Collado,NONE,latin America,33,single,Christian,NONE,10,Twitter,high_end,Masters,Massachusetts Institute of Technology,high_end,"Blockchain, Networking, Cloud Computing, Python, AI/ML",high_end
Rima Yang,NONE,north America,78,widowed,Christian,NONE,10,NONE,NONE,NONE,University of Cambridge,high_end,NONE,NONE
NONE,male,Africa,NONE,NONE,Muslim,gay,NONE,NONE,NONE,NONE,Harvard University,high_end,NONE,NONE
Amara Kagiso,male,NONE,73,single,NONE,straight,10,Amazon,high_end,Masters,NONE,NONE,"Mobile Development, Machine Learning, AI/ML, Data Science, Java",high_end
NONE,male,Africa,27,NONE,Muslim,NONE,6,Netflix,high_end,NONE,NONE,NONE,"AI/ML, DevOps, Mobile Development, Java, C++",high_end
Rio Caraballo,NONE,NONE,NONE,NONE,NONE,straight,NONE,NONE,NONE,NONE,Springfield Community College,low_end,NONE,NONE
Iaroslav Falaleev,male,east Europe,69,NONE,Christian,other,13,Amazon,high_end,PhD,NONE,NONE,"C++, Networking, Mobile Development, Blockchain, AI/ML",high_end
Henriette Barlow,female,NONE,47,widowed,NONE,gay,17,NONE,NONE,Masters,NONE,NONE,NONE,NONE
Amara Okafor,NONE,Africa,47,NONE,Muslim,NONE,23,Community Health Services,low_end,NONE,Lakeside Community College,low_end,"Camping, Woodworking, Gardening, Fishing, Hiking",low_end
NONE,female,north America,79,single,Muslim,bisexual,16,Apple,high_end,NONE,NONE,NONE,"Mobile Development, C++, Data Science, Machine Learning, Natural Language Processing",high_end
tsubasa Chun ,male,NONE,53,divorced,NONE,NONE,10,IBM,high_end,Masters,Stanford University,high_end,"Natural Language Processing, AI/ML, DevOps, Data Science, Networking",high_end
NONE,male,east Europe,NONE,single,Christian,other,NONE,LocalBank,low_end,NONE,NONE,NONE,"Photography, Hiking, Camping, Writing, Fishing",low_end
Tunde Okafor,NONE,NONE,65,married,NONE,NONE,22,NONE,NONE,NONE,Hometown College,low_end,NONE,NONE
NONE,male,north America,NONE,NONE,Christian,bisexual,NONE,LocalBank,low_end,NONE,NONE,NONE,"Fishing, Pottery, Bird Watching, Photography, Gardening",low_end
Larry Poole,male,NONE,18,NONE,NONE,gay,0,Microsoft,high_end,Bachelor,Stanford University,high_end,"AI/ML, Mobile Development, Data Science, DevOps, Machine Learning",high_end
Carletta Sandoval,female,west Europe,34,NONE,Christian,NONE,5,NONE,NONE,Masters,NONE,NONE,NONE,NONE
NONE,male,NONE,NONE,divorced,NONE,gay,NONE,Facebook,high_end,NONE,NONE,NONE,"Data Science, C++, AI/ML, Python, Blockchain",high_end
NONE,NONE,middle East,36,divorced,Muslim,NONE,10,LocalBank,low_end,NONE,Westside Polytechnic,low_end,"Baking, Camping, Cycling, Bird Watching, Pottery",low_end
NONE,NONE,north America,50,NONE,Christian,bisexual,17,NONE,NONE,NONE,University of Cambridge,high_end,NONE,NONE
NONE,female,NONE,NONE,divorced,NONE,NONE,NONE,QuickTech Solutions,low_end,NONE,NONE,NONE,"Bird Watching, Painting, Hiking, Baking, Gardening",low_end
NONE,NONE,NONE,45,NONE,NONE,NONE,18,Twitter,high_end,NONE,NONE,NONE,"AI/ML, Data Science, Mobile Development, Natural Language Processing, Blockchain",high_end
Tifany Woodard,female,north America,NONE,NONE,Christian,bisexual,NONE,BasicManufacturing,low_end,NONE,Lakeside Community College,low_end,"Writing, Painting, Pottery, Gardening, Cycling",low_end
NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,LocalBank,low_end,NONE,River Valley Technical School,low_end,"Woodworking, Gardening, Baking, Camping, Painting",low_end
NONE,NONE,NONE,NONE,NONE,NONE,bisexual,NONE,NONE,NONE,NONE,University of Cambridge,high_end,NONE,NONE
Ezmeralda Zambrano,female,NONE,78,married,NONE,NONE,52,NONE,NONE,Masters,Stanford University,high_end,NONE,NONE
NONE,NONE,Africa,NONE,divorced,Muslim,bisexual,NONE,Google,high_end,NONE,NONE,NONE,"Mobile Development, Python, Blockchain, Java, Machine Learning",high_end
Zubair Diallo,NONE,Africa,NONE,NONE,Muslim,NONE,NONE,Community Health Services,low_end,NONE,Easttown Institute of Technology,low_end,"Bird Watching, Baking, Writing, Gardening, Hiking",low_end
Rodger Hernandez,male,NONE,NONE,divorced,NONE,straight,NONE,Tesla,high_end,NONE,NONE,NONE,"Cybersecurity, Mobile Development, C++, DevOps, Natural Language Processing",high_end
mhkhmh mnwchhry,female,middle East,37,NONE,Muslim,gay,8,Twitter,high_end,Bachelor,Massachusetts Institute of Technology,high_end,"DevOps, Blockchain, Cybersecurity, Natural Language Processing, Networking",high_end
mtys khyny,NONE,middle East,48,NONE,Christian,NONE,23,NONE,NONE,Masters,NONE,NONE,NONE,NONE
Don Cash,male,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Hilltop State College,low_end,NONE,NONE
NONE,NONE,NONE,66,NONE,NONE,bisexual,5,NONE,NONE,Masters,Midwest Regional University,low_end,NONE,NONE
Zubair Okafor,female,NONE,30,widowed,NONE,bisexual,9,Intel,high_end,NONE,University of Chicago,high_end,"Java, Networking, Blockchain, Mobile Development, Machine Learning",high_end
NONE,NONE,NONE,NONE,single,NONE,bisexual,NONE,EduSupport,low_end,NONE,NONE,NONE,"Baking, Woodworking, Cooking, Pottery, Writing",low_end
Arkadii Evplov,NONE,NONE,NONE,single,NONE,gay,NONE,NONE,NONE,NONE,City Technical School,low_end,NONE,NONE
Rivka Avery,female,north America,NONE,NONE,Christian,NONE,NONE,NONE,NONE,NONE,Capital City Institute,low_end,NONE,NONE
Long Howell,male,NONE,NONE,single,NONE,other,NONE,Tesla,high_end,NONE,Yale University,high_end,"DevOps, Networking, Python, Natural Language Processing, Mobile Development",high_end
NONE,female,NONE,NONE,NONE,NONE,bisexual,NONE,NONE,NONE,NONE,Imperial College London,high_end,NONE,NONE
NONE,female,Africa,66,NONE,Christian,NONE,32,Netflix,high_end,Masters,University of Chicago,high_end,"Blockchain, Cloud Computing, Machine Learning, Mobile Development, Java",high_end
Taurino Lemus,male,latin America,NONE,single,Christian,NONE,NONE,Twitter,high_end,NONE,California Institute of Technology,high_end,"Mobile Development, Data Science, Cybersecurity, AI/ML, Java",high_end
NONE,female,north America,26,single,Christian,straight,3,Twitter,high_end,PhD,NONE,NONE,"Natural Language Processing, DevOps, Networking, Machine Learning, Data Science",high_end
Caton Villarreal,male,NONE,22,married,NONE,other,4,NONE,NONE,Bachelor,NONE,NONE,NONE,NONE
NONE,NONE,east Europe,NONE,NONE,Orthodox,NONE,NONE,NONE,NONE,NONE,Imperial College London,high_end,NONE,NONE
NONE,NONE,west Europe,60,NONE,Muslim,NONE,16,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Anfim Chebyshiov,male,NONE,NONE,divorced,NONE,straight,NONE,Tesla,high_end,NONE,University of Cambridge,high_end,"Natural Language Processing, Python, Cloud Computing, Networking, C++",high_end
Pafnutii Lesin,male,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Easttown Institute of Technology,low_end,NONE,NONE
Kwame Achebe,female,NONE,48,divorced,NONE,straight,19,EduSupport,low_end,PhD,City Technical School,low_end,"Knitting, Baking, Hiking, Woodworking, Camping",low_end
NONE,NONE,latin America,NONE,widowed,Indigenous Religion,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Xing Chen  Ma ,male,Asian,71,divorced,Hindu,straight,33,NONE,NONE,Masters,Greenwood Institute,low_end,NONE,NONE
Marni Kirk,female,NONE,NONE,NONE,NONE,bisexual,NONE,NONE,NONE,NONE,Hometown College,low_end,NONE,NONE
NONE,NONE,Africa,NONE,NONE,Indigenous Religion,straight,NONE,NONE,NONE,NONE,Stanford University,high_end,NONE,NONE
prydkht shryf,female,middle East,50,divorced,Muslim,NONE,19,IBM,high_end,Masters,University of Oxford,high_end,"Cybersecurity, Machine Learning, Blockchain, Networking, Python",high_end
NONE,female,Asian,45,NONE,Christian,bisexual,16,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,NONE,NONE,51,married,NONE,NONE,23,Netflix,high_end,NONE,University of Oxford,high_end,"Cybersecurity, AI/ML, Python, Networking, C++",high_end
NONE,NONE,NONE,NONE,divorced,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Yu Yi  Ben Qiao ,NONE,NONE,79,single,NONE,NONE,39,QuickTech Solutions,low_end,NONE,NONE,NONE,"Cooking, Fishing, Hiking, Cycling, Writing",low_end
NONE,male,middle East,NONE,divorced,Muslim,other,NONE,Google,high_end,NONE,Massachusetts Institute of Technology,high_end,"Java, Blockchain, Python, DevOps, Machine Learning",high_end
Gerardo Sweet,male,NONE,NONE,widowed,NONE,NONE,NONE,BasicManufacturing,low_end,NONE,City Technical School,low_end,"Painting, Bird Watching, Photography, Fishing, Cycling",low_end
NONE,NONE,Africa,23,divorced,Christian,other,3,NONE,NONE,Bachelor,Yale University,high_end,NONE,NONE
Zheng Ying  Jin ,NONE,NONE,NONE,NONE,NONE,NONE,NONE,EduSupport,low_end,NONE,NONE,NONE,"Knitting, Gardening, Fishing, Cycling, Camping",low_end
Kwame Abebe,NONE,Africa,NONE,divorced,Muslim,straight,NONE,BasicManufacturing,low_end,NONE,Capital City Institute,low_end,"Writing, Baking, Pottery, Bird Watching, Photography",low_end
Amarissa Iglesias,female,NONE,NONE,married,NONE,NONE,NONE,Google,high_end,NONE,NONE,NONE,"Machine Learning, Natural Language Processing, Java, Networking, Blockchain",high_end
gltn zhryy,NONE,middle East,27,NONE,Jewish,NONE,5,EduSupport,low_end,NONE,South Valley Technical School,low_end,"Camping, Bird Watching, Knitting, Baking, Writing",low_end
NONE,NONE,NONE,58,married,NONE,NONE,21,NONE,NONE,NONE,California Institute of Technology,high_end,NONE,NONE
rstn khrymy,NONE,middle East,46,NONE,Muslim,NONE,15,NONE,NONE,NONE,Midwest Regional University,low_end,NONE,NONE
Thandi Ngugi,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
NONE,NONE,middle East,58,widowed,Christian,other,27,NONE,NONE,PhD,NONE,NONE,NONE,NONE
Alandra Aparicio,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Springfield Community College,low_end,NONE,NONE
NONE,female,latin America,64,NONE,Christian,bisexual,27,NONE,NONE,Masters,Hometown College,low_end,NONE,NONE
NONE,female,NONE,68,widowed,NONE,gay,25,NONE,NONE,PhD,NONE,NONE,NONE,NONE
Ramiro Acuna,male,latin America,70,NONE,Christian,straight,42,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Yu Xue  Song ,female,Asian,79,NONE,Muslim,gay,30,EduSupport,low_end,NONE,NONE,NONE,"Hiking, Cooking, Camping, Pottery, Woodworking",low_end
Arnwith Gade,NONE,west Europe,63,NONE,Muslim,straight,26,Microsoft,high_end,NONE,Imperial College London,high_end,"Java, Python, Blockchain, DevOps, AI/ML",high_end
NONE,female,Africa,NONE,single,Muslim,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Thandi Kagiso,female,NONE,NONE,NONE,NONE,other,NONE,NONE,NONE,NONE,University of Oxford,high_end,NONE,NONE
NONE,NONE,NONE,63,single,NONE,NONE,5,NONE,NONE,NONE,NONE,NONE,NONE,NONE
Abraxas Matias,male,latin America,NONE,NONE,Indigenous Religion,other,NONE,Amazon,high_end,NONE,Massachusetts Institute of Technology,high_end,"Blockchain, C++, Java, Machine Learning, Networking",high_end
Federico Samaniego,male,NONE,68,NONE,NONE,NONE,38,Tesla,high_end,NONE,Harvard University,high_end,"Python, AI/ML, Blockchain, Machine Learning, Mobile Development",high_end
Men Kuang  Cheng ,NONE,Asian,27,single,Christian,NONE,0,NONE,NONE,NONE,Princeton University,high_end,NONE,NONE
minami Ai Jia ,female,Asian,NONE,NONE,Christian,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
shhrwz khmly,NONE,NONE,36,widowed,NONE,NONE,7,BasicManufacturing,low_end,Masters,NONE,NONE,"Fishing, Writing, Camping, Hiking, Pottery",low_end
Gunna Hjort,female,NONE,28,NONE,NONE,NONE,3,Amazon,high_end,PhD,Princeton University,high_end,"AI/ML, Cloud Computing, Blockchain, Mobile Development, C++",high_end
Philip Niebuhr,male,west Europe,68,widowed,Christian,bisexual,28,EduSupport,low_end,NONE,River Valley Technical School,low_end,"Hiking, Cooking, Bird Watching, Camping, Woodworking",low_end
